Medicare IPPS Short Stay Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utilization, Program Payments, and Cost Sharing for Original Medicare Beneficiaries, by Area of Residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendar Year 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area of Residence,Total Original Medicare Part A Enrollees,Total Persons With Utilization,Total Discharges,"Discharges Per 1,000 Original Medicare Part A Enrollees","Discharges Per 1,000 Persons With Utilization",Total Discharges Beginning with Emergency Room Visit,Total Days of Care,"Total Days of Care Per 1,000 Original Medicare Part A Enrollees",Total Days of Care Per Person With Utilization,Total Days of Care Per Discharge,Covered Days of Care,"Covered Days Per 1,000 Original Medicare Part A Enrollees",Covered Days Per Person With Utilization,Covered Days Per Discharge,Total Program Payments,Program Payments Per Original Medicare Part A Enrollee,Program Payments Per Person With Utilization,Program Payments Per Discharge,Program Payments Per Covered Day,Total Deductible Payments,Total Coinsurance Payments,Discharged Dead,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,"508,826","71,362","105,694 ",208 ,"1,481","72,216","559,965 ","1,101 ",7.85,5.30,"525,679 ","1,033 ",7.37,4.97,"1,687,734,150","3,317","23,650","15,968","3,211","111,735,454","6,025,210","4,507",,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,"431,193","64,286","97,080 ",225 ,"1,510","76,958","539,159 ","1,250 ",8.39,5.55,"521,656 ","1,210 ",8.11,5.37,"1,243,221,796","2,883","19,339","12,806","2,383","101,548,413","5,705,557","5,687",,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,"705,970","105,280","161,684 ",229 ,"1,536","122,915","854,175 ","1,210 ",8.11,5.28,"821,081 ","1,163 ",7.80,5.08,"2,090,125,063","2,961","19,853","12,927","2,546","166,879,356","8,737,624","7,489",,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,"187,346","18,801","25,677 ",137 ,"1,366","18,699","142,496 ",761 ,7.58,5.55,"138,671 ",740 ,7.38,5.40,"382,213,836","2,040","20,329","14,885","2,756","29,615,385","1,102,401","1,523",,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,"271,901","33,095","46,947 ",173 ,"1,419","28,981","242,762 ",893 ,7.34,5.17,"233,539 ",859 ,7.06,4.97,"683,005,513","2,512","20,638","14,548","2,925","51,598,709","2,258,588","2,280",,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,"314,391","40,578","63,128 ",201 ,"1,556","52,412","342,974 ","1,091 ",8.45,5.43,"319,609 ","1,017 ",7.88,5.06,"972,738,702","3,094","23,972","15,409","3,044","62,872,454","7,966,907","2,971",,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,"234,713","25,923","38,629 ",165 ,"1,490","29,704","211,941 ",903 ,8.18,5.49,"202,261 ",862 ,7.80,5.24,"593,938,567","2,530","22,912","15,375","2,936","41,437,248","3,207,506","1,589",,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,"1,061,472","154,637","244,036 ",230 ,"1,578","209,013","1,428,199 ","1,345 ",9.24,5.85,"1,354,788 ","1,276 ",8.76,5.55,"4,006,491,038","3,774","25,909","16,418","2,957","246,040,720","20,011,317","11,182",,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,"247,550","27,300","38,719 ",156 ,"1,418","28,949","208,560 ",842 ,7.64,5.39,"199,426 ",806 ,7.30,5.15,"605,021,869","2,444","22,162","15,626","3,034","42,017,101","1,895,182","2,367",,,,,,,,,,,,,,,,,,,,,,,,,,
New York,"1,985,166","291,731","451,981 ",228 ,"1,549","374,245","2,906,458 ","1,464 ",9.96,6.43,"2,767,108 ","1,394 ",9.49,6.12,"8,775,915,296","4,421","30,082","19,417","3,172","464,231,604","48,890,011","25,856",,,,,,,,,,,,,,,,,,,,,,,,,,
